numer_karty,nazwa,komorka,obszar,liczba_sekcji,liczba_wnioskow,url
KM-033,Rejestracja pojazdu zabytkowego,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,12,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-pojazdow/rejestracja-pojazdu-zabytkowego,5,22961,2.html"
KM-031,Rejestracja pojazdu zarejestrowanego na terenie RP,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,12,6,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-pojazdow/rejestracja-pojazdu-zarejestrowanego-w-innym-organie-na-terenie-rp,3,22961,2,4.html"
KM-082,Sprawdzanie swoich danych w Krajowym Rejestrze Elektronicznym Transportu Drogowego przez przedsiębiorców oraz osoby zarządzające transportem,Wydział Komunikacji,Komunikacjatransport,1,1,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/sprawdzanie-swoich-danych-w-krajowym-rejestrze-elektronicznym-transportu-drogowego-przez-przedsiebiorcow-oraz-osoby-zarzadzajace-transportem,14,22958,2.html"
KM-026,Wpis do ewidencji instruktorów/wykładowców nauki jazdy,Wydział Komunikacji,Komunikacjatransport,12,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/wpis-do-ewidencji-instruktorowwykladowcow-nauki-jazdy,7,22958,2,1.html"
KM-025,Wpis do rejestru przedsiębiorców prowadzących ośrodki szkolenia kierowców,Wydział Komunikacji,Komunikacjatransport,12,2,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/wpis-do-rejestru-przedsiebiorcow-prowadzacych-osrodki-szkolenia-kierowcow,8,22958,2,1.html"
KM-023,Wpis do rejestru przedsiębiorców prowadzących stacje kontroli pojazdów,Wydział Komunikacji,Komunikacjatransport,11,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/wpis-do-rejestru-przedsiebiorcow-prowadzacych-stacje-kontroli-pojazdow,12,22958,2,1.html"
KM-048,Wtórnik tablicy / tablic rejestracyjnych / dodatkowa tablica rejestracyjna na bagażnik,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,11,6,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-i-oznaczanie-pojazdow/wtornik-tablicytablic-rejestracyjnychdodatkowa-tablica-rejestracyjna-na-bagaznik,8,22960,2,4.html"
KM-050,Wtórnik znaku legalizacyjnego,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,11,6,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-i-oznaczanie-pojazdow/wtornik-nalepki-kontrolnej-znaku-legalizacyjnego,5,22960,2,4.html"
KM-076,Wydanie decyzji o profesjonalnej rejestracji pojazdów,Wydział Komunikacji,Rejestracja i oznaczanie pojazdow,12,6,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/rejestracja-i-oznaczanie-pojazdow/rejestracja-i-oznaczanie-pojazdow/wydanie-decyzji-o-profesjonalnej-rejestracji-pojazdow,18,22960,2,2.html"
KM-001,Wydanie międzynarodowego prawa jazdy,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,11,3,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wydanie-miedzynarodowego-prawa-jazdy,1,22956,2,1.html"
KM-024,Wydanie uprawnień diagnosty do wykonywania badań technicznych pojazdów,Wydział Komunikacji,Komunikacjatransport,11,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/komunikacjatransport/wydanie-uprawnien-diagnosty-do-wykonywania-badan-technicznych-pojazdow,1,22958,2,1.html"
KM-006,Wydanie wtórnika prawa jazdy,Wydział Komunikacji,Prawo jazdyuprawnienia do kierowania pojazdami,12,4,"https://bip.lublin.eu/e-urzad/opisy-uslug/wydzial-komunikacji/prawo-jazdyuprawnienia-do-kierowania-pojazdami/wydanie-wtornika-prawa-jazdy-lub-pozwolenia-do-kierowania-tramwajem,20,22956,2,5.html"
